(27,'La escalera','unknown321','y222222222111111,1100200222100001,2110020022100001,2011002002100021,2001100202100201,220011002210201x,2020011002120110,2202001102101102,2220200112121022,2222222211111222@2,4,0,0,150',1297927251,'83.56.250.126',0,67,1),
(29,'Problems?','Pedro Medario','yx00000000000000,0000000000000000,0000000000000202,0222020202020202,0200020202020202,0220020202020000,0200022202220202,0000000000000000,0000000000000000,0000000000000000@3,2,0,0,150',1298286186,'88.3.204.84',1,39,0),
(30,'Easy','Nick','y01110111011101x,1010101010101010,1010101010101010,1010101010101010,1010101010101010,1010101010101010,1010101010101010,1010101010101010,1010101010101010,1110111011101110@2,4,0,0,150',1298424034,'68.41.89.204',0,906,6),
(31,'La Nada','unknown321','1110111111110111,1111111111111111,1111111111111111,1111111111111111,2111111111111112,y11110111101111x,2111011111101112,1111111111111111,1111111111111111,1111111111111111@2,2,0,250,150',1298541937,'83.56.248.249',2,789,5),
(32,'funloopings','unknown321','2020202020202022,y111112111111112,2222212122020012,2011111111122012,2012212100120012,201111210012111x,2000002100121012,2222222100121112,2222222111120002,2200222022022222@2,2,0,50,150',1298542062,'83.56.248.249',0,113,2),
(33,'Cornerlike','Henix879','2222222022111222,y111111222101020,2222201222111112,1110201220201212,1011111211121212,1222222010121212,1111111111121212,2222222010201210,222222221111121x,2222222022222022@2,2,0,50,150',1298833094,'67.165.1.191',0,135,3),
(34,'Reboting rocks','unknown321','x111111111111112,2100220021222212,2122100211111112,2111102122210022,2020121111110222,2020111111002222,2111121100020222,y122121000222022,2222111002222202,2222222222222220@1,2,0,350,150',1298889804,'83.57.242.115',0,225,4),
(35,'easy peasy','bob','000000211111111x,2000000100000002,1111111111111111,1020000100000201,1211111111111121,1211111120000101,1020000200000101,1111111111111121,2000000000000201,y111111111111111@2,2,0,450,150',1298909980,'166.82.104.30',0,96,5),
(36,'LOLEASYWUT?','Dragovin','2y20202020202020,0111110202020202,2020212020202020,0202011111111202,2020202020201020,0201111111111202,2021202022222220,1111110222222202,1020212022222220,111111111111111x@2,4,50,0,150',1299015123,'71.235.46.216',0,2938,5),
(37,'Symetricity','unknown321','2x22222222222222,y111111111111111,2102222222222201,2102202020202201,2102022222220201,2102020202020201,2102000020000201,2102222222222201,2100000020000001,2111111111111111@3,2,0,50,150',1299057937,'88.0.81.60',0,86,3),
(38,'Cuadricos Negros','unknown321','2x21212122222222,211111111211111y,2202122212100200,0001111212100000,0201221212102220,0001211112100200,0201212212100200,0201211112100200,0201222222102020,2021111111100200@3,1,750,50,150',1299234635,'88.3.205.183',0,64,3),
